entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
5.61,44204,509,1309,1,7,0,9,144,0.31137453624106415,6.2243436754176615,85,0.15808524115464664,1
4.561,18370,501,589,1,5,0,4,69,0.2020141535111595,5.652360515021459,13,0.3651061513336962,1
5.723,80661,8885,2136,4,19,7,27,260,0.25837765462863094,5.574645129711209,109,0.11617758272275325,1
5.935,40936,14043,767,2,8,4,7,80,0.1585890170021497,5.896405919661734,19,0.0803937854211452,1
5.561,219891,120043,1054,9,9,6,10,383,0.1372225329822503,6.322248243559719,76,0.04814658171548631,1
5.2,1466,122,18,0,0,0,0,0,0.40313778990450205,2.853846153846154,1,0.01296043656207367,1
5.824,174864,7477,2151,11,49,15,35,678,0.2356288315490896,5.5426829268292686,96,0.12974082715710494,1
5.727,19673,637,234,2,0,1,0,0,0.06735119198902048,4.644444444444445,0,0.02897372032735221,1
5.369,88,78,3,0,0,1,0,1,0.23863636363636365,5.0,0,0.10227272727272728,1
5.528,160884,1570,3107,5,39,11,14,24,0.2620956714154298,5.756182795698924,377,0.15331543223689117,1
5.322,115,114,2,0,0,0,0,3,0.3826086956521739,6.0,0,0.02608695652173913,1
5.621,393779,392640,3,1,0,0,0,0,0.045225875427587554,10.0,0,1.0157982015292842e-05,1
4.872,49413,1190,1216,2,10,1,11,266,0.2436403375629895,5.578461538461538,4,0.28856778580535486,1
3.968,36,35,2,0,0,0,0,3,0.6388888888888888,5.0,0,0.027777777777777776,1
5.629,1940,121,77,0,0,0,0,2,0.22577319587628866,7.2727272727272725,2,0.11804123711340206,1
6.023,23293,23291,3,1,0,0,0,0,0.0374361396127592,12.8,3,0.00021465676383462844,1
5.175,220,78,8,0,0,0,0,0,0.20454545454545456,0.0,0,0.10909090909090909,1
5.332,1302,111,17,0,0,0,0,0,0.4485407066052227,2.5968992248062017,1,0.013824884792626729,1
5.761,49150,490,1481,1,16,7,17,163,0.28626653102746696,5.824940047961631,127,0.11499491353001018,1
5.847,151388,39953,2558,9,9,6,10,372,0.18501466430628583,6.407495256166983,98,0.09685047692023145,1
5.257,2667,272,68,0,0,0,0,0,0.2170978627671541,5.026315789473684,1,0.24371953505811775,1
4.698,59,50,3,0,0,0,0,1,0.4406779661016949,9.0,0,0.0847457627118644,1
5.325,46934,178,1313,11,22,0,5,15,0.33076234712575103,7.112665684830633,109,0.16090680530106105,1
6.093,15005,14107,39,1,0,2,0,2,0.044185271576141286,6.714285714285714,0,0.0068643785404865045,1
5.106,1022,121,32,0,0,0,0,8,0.27788649706457924,8.25,2,0.1898238747553816,1
4.467,141,73,4,0,0,0,0,1,0.45390070921985815,4.0,0,0.10638297872340426,1
5.554,25533,314,811,0,7,0,8,63,0.3069361218814867,6.592,45,0.15125523831903812,1
5.128,3775,232,168,0,2,5,0,7,0.3390728476821192,4.857142857142857,0,0.2148344370860927,1
5.141,5491,111,193,0,2,0,0,0,0.14751411400473502,6.621951219512195,7,0.17810963394645785,1
5.677,117,88,4,1,0,0,0,1,0.4444444444444444,5.0,0,0.03418803418803419,1
4.458,33081,459,1078,0,0,2,4,8,0.17578065959311992,7.603883495145631,120,0.3875940872404099,1
5.681,2874,451,67,0,2,0,1,22,0.3190675017397356,5.5813953488372094,0,0.10160055671537926,1
6.02,63901,63227,15,0,0,2,0,0,0.03151750363844071,9.066666666666666,4,0.0016744651883382107,1
6.224,20979,279,434,1,0,2,0,12,0.09285475952142619,6.4603174603174605,0,0.05295771962438629,1
5.937,308734,30070,6147,9,32,15,21,840,0.24691481987730537,5.882618888144675,287,0.10267414667642695,1
